Film;U.S. release date;Box office gross Domestic (U.S. and Canada );Box office gross Other territories;Box office gross Worldwide;Budget;MCU;Distributor;Minutes;Franchise;Character Family;Rotten Tomatoes Critic Score;Male/Female-led;Year;Inflation Adjusted Worldwide Gross;Inflation Adjusted Budget;Break Even
Spider-Man: Into the Spider-Verse;14/12/2018;190241310;194057426;384298736;90000000;FAUX;Sony Pictures Entertainment ;117;Marvel;Spider-Man;97;Male;2018;384298736;90000000;Success
Aquaman;21/12/2018;335061807;816900000;1151961807;160000000;FAUX;Warner Bros.;143;DC;Aquaman;66;Male;2018;1397828760;194149320;Success
Captain Marvel;08/03/2019;426829839;704586607;1131416446;152000000;VRAI;Walt Disney Studios Motion Pictures;123;Marvel;Captain Marvel;79;Female;2019;1131416446;152000000;Success
Shazam!;05/04/2019;140480049;227318962;367799011;100000000;FAUX;Warner Bros.;132;DC;Shazam;90;Male;2019;438356630;119183744;Success
Avengers: Endgame;26/04/2019;858373000;1941066100;2799439100;356000000;VRAI;Walt Disney Studios Motion Pictures;181;Marvel;Avengers;94;Male;2019;2799439100;356000000;Success
Dark Phoenix;07/06/2019;65845974;186597000;252442974;200000000;FAUX;Twentieth Century Fox;113;Marvel;X-Men;22;Female;2019;252442974;200000000;Flop
Spider-Man: Far From Home;02/07/2019;390532085;741395911;1131927996;160000000;VRAI;Sony Pictures Entertainment ;129;Marvel;Spider-Man;90;Male;2019;1131927996;160000000;Success
Joker;04/10/2019;335477657;743480625;1078958282;55000000;FAUX;Warner Bros.;122;DC;Batman;69;Male;2019;1285942872;65551059;Success
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn);07/02/2020;84172791;121200000;205372791;84500000;FAUX;Warner Bros.;109;DC;Birds of Prey;78;Female;2020;241788079;99482958;Flop
The New Mutants;28/08/2020;23852659;25316935;49169594;67000000;FAUX;20th Century Studios;94;Marvel;X-Men;36;Co-starring;2020;49169594;67000000;Flop
Wonder Woman 1984;25/12/2020;46801036;122800000;169601036;200000000;FAUX;Warner Bros.;151;DC;Wonder Woman;58;Female;2020;199673523;235462622;Flop
